Symbol,Name,Last Sale,Net Change,% Change,Market Cap (B),Country,IPO Year,Volume,Sector,Industry
UFPI,UFP Industries Inc. Common Stock,$115.67,-0.79,-0.678%,7.024021885,United States,1993.0,223820,Basic Materials,Forest Products
AMWD,American Woodmark Corporation Common Stock,$77.01,0.48,0.627%,1.159321863,United States,1986.0,168642,Basic Materials,Forest Products
IPX,IperionX Limited American Depositary Share,$26.52,0.12,0.455%,0.682213104,United States,,50560,Basic Materials,Other Metals and Minerals
EU,enCore Energy Corp. Common Shares,$2.91,0.06,2.105%,0.541517878,United States,,1091464,Basic Materials,Other Metals and Minerals
USGO,U.S. GoldMining Inc. Common stock,$12.59,1.78,16.466%,0.156677615,United States,2023.0,225247,Basic Materials,Precious Metals
USAU,U.S. Gold Corp. Common Stock,$9.11,0.2,2.245%,0.112263587,United States,,307423,Basic Materials,Metal Mining
NB,NioCorp Developments Ltd. Common Stock,$2.61,-0.01,-0.382%,0.0988929,United States,,265655,Basic Materials,Metal Mining
ABAT,American Battery Technology Company Common Stock,$1.22,-0.06,-4.688%,0.090916436,United States,,2354974,Basic Materials,Metal Mining
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$2.61,0.02,0.772%,0.064607134,United States,2018.0,248033,Basic Materials,Precious Metals
USGOW,U.S. GoldMining Inc. Warrant,$1.875,0.145,8.382%,0.02333364,United States,2023.0,48397,Basic Materials,Precious Metals
AMZN,Amazon.com Inc. Common Stock,$232.76,-0.38,-0.163%,2466.727483972,United States,1997.0,23673960,Consumer Discretionary,Catalog/Specialty Distribution
TSLA,Tesla Inc. Common Stock,$328.50,-22.23,-6.338%,1056.625846655,United States,2010.0,118024477,Consumer Discretionary,Auto Manufacturing
COST,Costco Wholesale Corporation Common Stock,$1058.34,-3.58,-0.337%,469.795930076,United States,,1747781,Consumer Discretionary,Department/Specialty Retail Stores
NFLX,Netflix Inc. Common Stock,$1008.08,-19.52,-1.90%,431.213377368,United States,2002.0,3320799,Consumer Discretionary,Consumer Electronics/Video Chains
BKNG,Booking Holdings Inc. Common Stock,$4897.32,-16.16,-0.329%,162.085194509,United States,,177354,Consumer Discretionary,Transportation Services
SBUX,Starbucks Corporation Common Stock,$111.03,-0.42,-0.377%,126.118977,United States,1992.0,4683108,Consumer Discretionary,Restaurants
CTAS,Cintas Corporation Common Stock,$205.40,1.43,0.701%,82.887923633,United States,1983.0,1093088,Consumer Discretionary,Apparel
DASH,DoorDash Inc. Class A Common Stock,$193.09,0.46,0.239%,80.208859789,United States,,6717120,Consumer Discretionary,Business Services
MAR,Marriott International Class A Common Stock,$288.00,-16.45,-5.403%,80.033308416,United States,,3055510,Consumer Discretionary,Hotels/Resorts
ORLY,O'Reilly Automotive Inc. Common Stock,$1323.94,13.92,1.063%,76.43197369,United States,1993.0,391450,Consumer Discretionary,Auto & Home Supply Stores
PEP,PepsiCo Inc. Common Stock,$145.64,1.29,0.894%,199.745236406,United States,,6352770,Consumer Staples,Beverages (Production/Distribution)
MDLZ,Mondelez International Inc. Class A Common Stock,$60.45,1.92,3.28%,78.193596345,United States,,12174666,Consumer Staples,Packaged Foods
MNST,Monster Beverage Corporation,$48.06,0.25,0.523%,46.739294812,United States,,3141095,Consumer Staples,Beverages (Production/Distribution)
KDP,Keurig Dr Pepper Inc. Common Stock,$31.56,0.66,2.136%,42.809677162,United States,,7698746,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$29.58,0.62,2.141%,35.767393365,United States,,9258873,Consumer Staples,Packaged Foods
SFM,Sprouts Farmers Market Inc. Common Stock,$166.13,-2.77,-1.64%,16.611553672,United States,2013.0,1260940,Consumer Staples,Food Chains
PPC,Pilgrim's Pride Corporation Common Stock,$52.55,1.05,2.039%,12.460816856,United States,,1711924,Consumer Staples,Meat/Poultry/Fish
COKE,Coca-Cola Consolidated Inc. Common Stock,$1415.40,12.98,0.926%,12.399865057,United States,1972.0,33036,Consumer Staples,Beverages (Production/Distribution)
CPB,The Campbell's Company Common Stock,$37.95,0.56,1.498%,11.31324581,United States,,2385164,Consumer Staples,Packaged Foods
SFD,Smithfield Foods Inc. Common Stock,$21.26,0.0,0.00%,8.450195872,United States,2025.0,594473,Consumer Staples,Meat/Poultry/Fish
FANG,Diamondback Energy Inc. Common Stock,$162.01,0.35,0.217%,47.30516932,United States,2012.0,1722304,Energy,Oil & Gas Production
EXE,Expand Energy Corporation Common Stock,$105.785,0.665,0.633%,24.440015366,United States,,2620411,Energy,Oil & Gas Production
EXEEW,Expand Energy Corporation Class A Warrants,$99.10,0.0,0.00%,22.895547788,United States,,1,Energy,Oil & Gas Production
EXEEZ,Expand Energy Corporation Class B Warrants,$97.16,1.02,1.061%,22.447340294,United States,,7507,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,$93.00,0.71,0.769%,21.486235563,United States,,284,Energy,Oil & Gas Production
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$19.72,-0.03,-0.152%,13.876353843,United States,1998.0,2483496,Energy,Natural Gas Distribution
WWD,Woodward Inc. Common Stock,$193.27,0.18,0.093%,11.472484587,United States,,362678,Energy,Industrial Machinery/Components
VNOM,Viper Energy Inc. Class A Common Stock,$51.14,0.54,1.067%,9.635215548,United States,2014.0,1377097,Energy,Oil & Gas Production
APA,APA Corporation Common Stock,$23.31,0.32,1.392%,8.623475129,United States,,6491045,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$114.41,1.24,1.096%,6.99393753,United States,,746247,Energy,Oil & Gas Production
CME,CME Group Inc. Class A Common Stock,$241.74,-0.07,-0.029%,87.11395847,United States,2002.0,1358997,Finance,Investment Bankers/Brokers/Service
ABNB,Airbnb Inc. Class A Common Stock,$134.52,-0.72,-0.532%,85.281865013,United States,2020.0,4041294,Finance,Diversified Commercial Services
COIN,Coinbase Global Inc. Class A Common Stock,$266.90,-13.32,-4.753%,66.818533237,United States,,6875851,Finance,Finance: Consumer Services
HOOD,Robinhood Markets Inc. Class A Common Stock,$53.34,-2.93,-5.207%,47.151263251,United States,2021.0,24062718,Finance,Investment Bankers/Brokers/Service
NDAQ,Nasdaq Inc. Common Stock,$80.29,-0.92,-1.133%,46.147288025,United States,,2497954,Finance,Investment Bankers/Brokers/Service
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.44,-0.03,-0.118%,36.959521812,United States,,22198,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,$22.62,0.01,0.044%,32.862593687,United States,,16297,Finance,Major Banks
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$2155.94,1.37,0.064%,30.16051185,United States,,49184,Finance,Major Banks
FITB,Fifth Third Bancorp Common Stock,$44.00,0.67,1.546%,29.503905728,United States,,3676147,Finance,Major Banks
LPLA,LPL Financial Holdings Inc. Common Stock,$362.42,-3.68,-1.005%,27.137857021,United States,2010.0,880973,Finance,Investment Bankers/Brokers/Service
ISRG,Intuitive Surgical Inc. Common Stock,$591.65,-4.05,-0.68%,211.016092751,United States,2000.0,837053,Health Care,Industrial Specialties
AMGN,Amgen Inc. Common Stock,$296.66,1.87,0.634%,159.464457605,United States,1983.0,3506917,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILD,Gilead Sciences Inc. Common Stock,$96.14,0.66,0.691%,119.815999492,United States,1992.0,6256940,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$455.22,-14.75,-3.138%,117.232483394,United States,1991.0,1560952,Health Care,Biotechnology: Pharmaceutical Preparations
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$665.46,-24.9,-3.607%,72.751202884,United States,1991.0,1270766,Health Care,Biotechnology: Pharmaceutical Preparations
GEHC,GE HealthCare Technologies Inc. Common Stock ,$87.03,-0.47,-0.537%,39.761655362,United States,,2392445,Health Care,Medical Electronics
IDXX,IDEXX Laboratories Inc. Common Stock,$463.74,-1.17,-0.252%,37.973194083,United States,1991.0,516829,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$268.99,-5.07,-1.85%,34.694576864,United States,2004.0,283048,Health Care,Biotechnology: Pharmaceutical Preparations
DXCM,DexCom Inc. Common Stock,$86.38,-1.89,-2.141%,33.739629788,United States,2005.0,2585946,Health Care,Medical/Dental Instruments
NTRA,Natera Inc. Common Stock,$169.71,-2.48,-1.44%,22.405252683,United States,2015.0,1553275,Health Care,Medical Specialities
LIN,Linde plc Ordinary Shares,$460.74,-0.12,-0.026%,219.384992228,United States,,1587763,Industrials,Major Chemicals
HON,Honeywell International Inc. Common Stock,$206.94,-1.58,-0.758%,134.562192817,United States,,3077232,Industrials,Aerospace
CSX,CSX Corporation Common Stock,$33.11,0.03,0.091%,63.849958156,United States,,9176496,Industrials,Railroads
ROP,Roper Technologies Inc. Common Stock,$581.35,6.83,1.189%,62.337666934,United States,1992.0,552398,Industrials,Industrial Machinery/Components
AXON,Axon Enterprise Inc. Common Stock,$669.26,-8.59,-1.267%,51.034271386,United States,2001.0,421465,Industrials,Ordnance And Accessories
BKR,Baker Hughes Company Class A Common Stock,$47.11,-0.07,-0.148%,46.644169442,United States,,5240411,Industrials,Metal Fabrications
ODFL,Old Dominion Freight Line Inc. Common Stock,$205.77,3.99,1.977%,43.931387983,United States,1991.0,1956922,Industrials,Trucking Freight/Courier Services
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$100.07,0.52,0.522%,24.88802353,United States,,643286,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$53.39,0.14,0.263%,24.208513339,United States,,2290019,Industrials,Broadcasting
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$92.72,0.72,0.783%,23.060033394,United States,,52601,Industrials,Broadcasting
IDCC,InterDigital Inc. Common Stock,$207.62,0.57,0.275%,5.332520592,United States,,479444,Miscellaneous,Multi-Sector Companies
NOVT,Novanta Inc. Common Stock,$146.53,-1.13,-0.765%,5.263552192,United States,,127988,Miscellaneous,Industrial Machinery/Components
ENVX,Enovix Corporation Common Stock,$10.57,-1.22,-10.348%,1.881219046,United States,2021.0,7599525,Miscellaneous,Industrial Machinery/Components
RUN,Sunrun Inc. Common Stock,$8.10,-0.26,-3.11%,1.817148929,United States,2015.0,8420778,Miscellaneous,Industrial Machinery/Components
FLNC,Fluence Energy Inc. Class A Common Stock,$7.00,-6.07,-46.442%,1.267843318,United States,2021.0,53145067,Miscellaneous,Industrial Machinery/Components
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,$4.91,-0.49,-9.074%,1.069949693,United States,,12392189,Miscellaneous,Industrial Machinery/Components
CTLP,Cantaloupe Inc. Common Stock,$10.53,0.6,6.042%,0.769054075,United States,,1247252,Miscellaneous,Office Equipment/Supplies/Services
BYRN,Byrna Technologies Inc. Common Stock,$32.33,-1.86,-5.44%,0.732175118,United States,,833513,Miscellaneous,Industrial Machinery/Components
MVST,Microvast Holdings Inc. Common Stock,$1.79,0.11,6.548%,0.579629383,United States,2019.0,9350708,Miscellaneous,Industrial Machinery/Components
APPS,Digital Turbine Inc. Common Stock,$5.45,0.07,1.301%,0.572287109,United States,,9508976,Miscellaneous,Multi-Sector Companies
EQIX,Equinix Inc. Common Stock REIT,$943.64,0.5,0.053%,91.050112781,United States,2000.0,437783,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.69,-0.01,-0.039%,22.75208731,United States,,15541,Real Estate,Real Estate Investment Trusts
